Centre_Title_x,Centre_Address,Eircode,Latitude,Longitude,County_x,Maximum_Occupancy,Centre_Phone,Processed_CT,Processed_County,Centre_Title_y,County_y,Cost of Care
AbbeyBreaffy Nursing Home,"Dublin Road (N5), Castlebar, F23 NY75",F23NY75,53.877612,-9.225022599999999,Mayo,55,094 902 5029,abbeybreaffy nursing home,mayo,AbbeyBreaffy Nursing Home,Co. Mayo,1125
Abbeylands Nursing Home,"Carhoo, Kildorrery, P67 NH76",P67NH76,52.2532665,-8.4351,Cork,50,022 250 90,abbeylands nursing home,k,Abbeylands Nursing Home,Co. Cork,1145
Abbot Close Care Centre,"St. Marys Terrace, Askeaton, V94 F864",V94F864,52.6016793,-8.9767441,Limerick,65,061 601 888,abbot close care centre,limerick,Abbot Close Care Centre,Co. Limerick,1109
Aclare House Nursing Home,"4/5 Tivoli Terrace South, Dun Laoghaire, A96 FX74",A96FX74,53.28910339999999,-6.1425016,Dublin,27,01 280 1345,aclare house nursing home,dublin,Aclare House Nursing Home,Co. Dublin,1325
Acorn Lodge,"Ballykelly, Cashel, E25 W528",E25W528,52.5591248,-7.847780999999999,Tipperary,50,062 64 244,acorn lodge,tipperary,Acorn Lodge,Co. Tipperary,1104
Adare and District Nursing Home,"Adare Road, Croagh, V94 TN82",V94TN82,52.5353419,-8.8680505,Limerick,84,069 644 43,adare and district nursing home,limerick,Adare and District Nursing Home,Co. Limerick,1120
Ailesbury Private Nursing Home,"58 Park Avenue, Sandymount, D04 Y437",D04Y437,53.32491229999999,-6.212185799999999,Dublin,42,01 269 2289,ailesbury private nursing home,dublin,Ailesbury Private Nursing Home,Co. Dublin,1349
Aisling House Nursing Home,"Sea Bank, Arklow, Y14 X670",Y14X670,52.8189927,-6.1274989,Wicklow,50,040 233 843,aisling house nursing home,wicklow,Aisling House Nursing Home,Co. Wicklow,1150
Altadore Nursing Home,"Upper Glenageary Road, Glenageary, A96 EW77",A96EW77,53.278521,-6.129807899999999,Dublin,62,01 284 2233,altadore nursing home,dublin,Altadore Nursing Home,Co. Dublin,1290
Alzheimer's Care Centre,"Highfield Healthcare, Swords Road, Whitehall, D09 H343",D09H343,53.3783806,-6.2446321,Dublin,119,01 837 4444,alzheimers care centre,dublin,Alzheimer's Care Centre,Co. Dublin,1415
Amberley Home and Retirement Cottages,"Acres , Fermoy , P61 AP57",P61AP57,52.1525887,-8.3277153,Cork,71,025 40 900,amberley home and retirement cottages,k,Amberley Home and Retirement Cottages,Co. Cork,1139
