Centre_Title_x,Centre_Address,Eircode,Latitude,Longitude,County_x,Maximum_Occupancy,Centre_Phone,Processed_CT,Processed_County,Centre_Title_y,County_y,Cost of Care
Abbeyleix Community Nursing Unit,"Ballinakill Road, Abbeyleix, R32 FV52",R32FV52,52.9118533,-7.342787199999999,Laois,10,057 873 1204,abbeyleix community nursing unit,laois,Abbeyleix Community Nursing Unit,Co. Laois,2991
Arus Breffni Nursing Unit,"Arus Breffni Nursing Unit, Manorhamilton, F91 Y264",F91Y264,54.3048162,-8.168408,Leitrim,25,071 982 0446,arus breffni nursing unit,leitrim,Arus Breffni Nursing Unit,Co. Leitrim,1649
Arus Carolan Nursing Unit,"Castle Street, Mohill, N41 R9T3",N41R9T3,53.9227034,-7.8641955,Leitrim,36,071 963 1152,arus carolan nursing unit,leitrim,Arus Carolan Nursing Unit,Co. Leitrim,1368
Ballinamore Nursing Unit,"Tully, Ballinamore, N41 XC92",N41XC92,54.0501775,-7.8028837,Leitrim,20,071 964 4376,ballinamore nursing unit,leitrim,Ballinamore Nursing Unit,Co. Leitrim,1717
Ballinasloe Community Nursing Unit,"Creagh Road, Ballinasloe, H53 P2E2",H53P2E2,53.3343025,-8.1983357,Galway,50,090 963 0170,ballinasloe community nursing unit,galway,Ballinasloe Community Nursing Unit,Co. Galway,1502
Ballincollig Community Nursing Unit,"Murphy's Barracks Road, Ballincollig, P31 PT10",P31PT10,51.8907081,-8.5892115,Cork,100,021 462 0600,ballincollig community nursing unit,k,Ballincollig Community Nursing Unit,Co. Cork,1230
Baltinglass Community Hospital,"Newtownsaunders, Baltinglass, W91 EK59",W91EK59,52.9315169,-6.6791329,Wicklow,54,059 645 1600,baltinglass community hospital,wicklow,Baltinglass Community Hospital,Co. Wicklow,1987
Bandon Community Hospital,"Hospital Lane, Cloughmacsimon, Bandon, P72 W564",P72W564,51.74399400000001,-8.7245846,Cork,25,023 884 1403,bandon community hospital,k,Bandon Community Hospital,Co. Cork,1986
Beaufort House,"HSE Navan Community Health Unit, Beaufort House, Athboy Road, Navan, C15 N82V",C15N82V,53.6507165,-6.7006662,Meath,44,046 909 9101,beaufort house,meath,Beaufort House,Co. Meath,1863
Birr Community Nursing Unit,"Sandymount, Birr, R42 VN80",R42VN80,53.0980192,-7.8996559,Offaly,74,057 912 3200,birr community nursing unit,offaly,Birr Community Nursing Unit,Co. Offaly,1779
Breffni Care Centre,"Ballyconnell, H14 X048",H14X048,54.11793249999999,-7.5839884,Cavan,18,049 952 5528,breffni care centre,cavan,Breffni Care Centre,Co. Cavan,2030
Buncrana Community Hospital,"Maginn Avenue, Buncrana, F93 X225",F93X225,55.1340803,-7.4501095,Donegal,41,074 936 1500,buncrana community hospital,donegal,Buncrana Community Hospital,Co. Donegal,1656
Caherciveen Community Hospital,"Caherciveen, V23 PW84",V23PW84,51.9419749,-10.2344962,Kerry,33,066 947 2100,caherciveen community hospital,kerry,Caherciveen Community Hospital,Co. Kerry,1720
Carndonagh Community Hospital,"Convent Road, Carndonagh, F93 EW7T",F93EW7T,55.2452913,-7.2676983,Donegal,46,074 937 4164,carndonagh community hospital,donegal,Carndonagh Community Hospital,Co. Donegal,1797
Castletownbere Community Hospital,"Castletownbere, P75 PW81",P75PW81,51.6518687,-9.900692099999999,Cork,31,027 70004,castletownbere community hospital,k,Castletownbere Community Hospital,Co. Cork,1578
Cherry Orchard Hospital,"Cherry Orchard Hospital, Ballyfermot, D10 Y821",D10Y821,53.34345750000001,-6.378293299999999,Dublin,113,01 795 5000,cherry orchard hospital,dublin,Cherry Orchard Hospital,Co. Dublin,2466
Clarehaven,"St Canices Road, Finglas, D11 WD50",D11WD50,53.3825869,-6.2748064,Dublin,47,01 704 4400,clarehaven,dublin,Clarehaven,Co. Dublin,2330
Clonakilty Community Hospital,"Clonakilty, P85 K160",P85K160,51.6304789,-8.876373599999999,Cork,99,023 883 3205,clonakilty community hospital,k,Clonakilty Community Hospital,Co. Cork,1883
Clonskeagh Community Nursing Unit,"Clonskeagh Road, D06 V406",D06V406,53.3155872,-6.238711400000001,Dublin,90,01 268 0521,clonskeagh community nursing unit,dublin,Clonskeagh Community Nursing Unit,Co. Dublin,2144
Cluain Lir Community Nursing Unit,"Longford Road, Mullingar, N91 T267",N91T267,53.5361736,-7.352191500000001,Westmeath,44,044 939 4931,cluain lir community nursing unit,westmeath,Cluain Lir Community Nursing Unit,Co. Westmeath,2083
