"STATISTIC Label","Year","Age Group","Place of Occurrence","UNIT","VALUE"
"Deaths","2013","0 - 4 years","All places of occurrence","Number","291"
"Deaths","2013","0 - 4 years","General and Orthopaedic Hospitals","Number","67"
"Deaths","2013","0 - 4 years","Psychiatric Hospitals","Number","0"
"Deaths","2013","0 - 4 years","Private Hospitals","Number","0"
"Deaths","2013","0 - 4 years","Community Hospitals","Number","0"
"Deaths","2013","0 - 4 years","Maternity Hospitals","Number","119"
"Deaths","2013","0 - 4 years","Paediatric Hospitals","Number","72"
"Deaths","2013","0 - 4 years","Oncology Hospitals","Number","0"
"Deaths","2013","0 - 4 years","Domiciliary","Number","24"
"Deaths","2013","0 - 4 years","Elsewhere","Number","6"
"Deaths","2013","0 - 4 years","Nursing Homes","Number","1"
"Deaths","2013","0 - 4 years","Hospices","Number","2"
"Deaths","2013","5 - 14 years","All places of occurrence","Number","59"
"Deaths","2013","5 - 14 years","General and Orthopaedic Hospitals","Number","18"
"Deaths","2013","5 - 14 years","Psychiatric Hospitals","Number","0"
"Deaths","2013","5 - 14 years","Private Hospitals","Number","0"
"Deaths","2013","5 - 14 years","Community Hospitals","Number","0"
"Deaths","2013","5 - 14 years","Maternity Hospitals","Number","0"
"Deaths","2013","5 - 14 years","Paediatric Hospitals","Number","19"
"Deaths","2013","5 - 14 years","Oncology Hospitals","Number","0"
"Deaths","2013","5 - 14 years","Domiciliary","Number","18"
"Deaths","2013","5 - 14 years","Elsewhere","Number","3"
"Deaths","2013","5 - 14 years","Nursing Homes","Number","0"
"Deaths","2013","5 - 14 years","Hospices","Number","1"
"Deaths","2013","15 - 24 years","All places of occurrence","Number","199"
"Deaths","2013","15 - 24 years","General and Orthopaedic Hospitals","Number","68"
"Deaths","2013","15 - 24 years","Psychiatric Hospitals","Number","0"
"Deaths","2013","15 - 24 years","Private Hospitals","Number","2"
"Deaths","2013","15 - 24 years","Community Hospitals","Number","0"
"Deaths","2013","15 - 24 years","Maternity Hospitals","Number","0"
"Deaths","2013","15 - 24 years","Paediatric Hospitals","Number","8"
"Deaths","2013","15 - 24 years","Oncology Hospitals","Number","0"
"Deaths","2013","15 - 24 years","Domiciliary","Number","50"
"Deaths","2013","15 - 24 years","Elsewhere","Number","64"
"Deaths","2013","15 - 24 years","Nursing Homes","Number","1"
"Deaths","2013","15 - 24 years","Hospices","Number","6"
"Deaths","2013","25 - 34 years","All places of occurrence","Number","409"
"Deaths","2013","25 - 34 years","General and Orthopaedic Hospitals","Number","152"
"Deaths","2013","25 - 34 years","Psychiatric Hospitals","Number","0"
"Deaths","2013","25 - 34 years","Private Hospitals","Number","2"
"Deaths","2013","25 - 34 years","Community Hospitals","Number","5"
"Deaths","2013","25 - 34 years","Maternity Hospitals","Number","0"
"Deaths","2013","25 - 34 years","Paediatric Hospitals","Number","0"
"Deaths","2013","25 - 34 years","Oncology Hospitals","Number","2"
"Deaths","2013","25 - 34 years","Domiciliary","Number","155"
"Deaths","2013","25 - 34 years","Elsewhere","Number","79"
"Deaths","2013","25 - 34 years","Nursing Homes","Number","1"
"Deaths","2013","25 - 34 years","Hospices","Number","13"
"Deaths","2013","35 - 44 years","All places of occurrence","Number","644"
"Deaths","2013","35 - 44 years","General and Orthopaedic Hospitals","Number","256"
"Deaths","2013","35 - 44 years","Psychiatric Hospitals","Number","1"
"Deaths","2013","35 - 44 years","Private Hospitals","Number","9"
"Deaths","2013","35 - 44 years","Community Hospitals","Number","4"
"Deaths","2013","35 - 44 years","Maternity Hospitals","Number","0"
"Deaths","2013","35 - 44 years","Paediatric Hospitals","Number","0"
"Deaths","2013","35 - 44 years","Oncology Hospitals","Number","2"
"Deaths","2013","35 - 44 years","Domiciliary","Number","221"
"Deaths","2013","35 - 44 years","Elsewhere","Number","98"
"Deaths","2013","35 - 44 years","Nursing Homes","Number","7"
"Deaths","2013","35 - 44 years","Hospices","Number","46"
"Deaths","2013","45 - 54 years","All places of occurrence","Number","1453"
"Deaths","2013","45 - 54 years","General and Orthopaedic Hospitals","Number","566"
"Deaths","2013","45 - 54 years","Psychiatric Hospitals","Number","1"
"Deaths","2013","45 - 54 years","Private Hospitals","Number","29"
"Deaths","2013","45 - 54 years","Community Hospitals","Number","21"
"Deaths","2013","45 - 54 years","Maternity Hospitals","Number","0"
"Deaths","2013","45 - 54 years","Paediatric Hospitals","Number","0"
"Deaths","2013","45 - 54 years","Oncology Hospitals","Number","6"
"Deaths","2013","45 - 54 years","Domiciliary","Number","491"
"Deaths","2013","45 - 54 years","Elsewhere","Number","151"
"Deaths","2013","45 - 54 years","Nursing Homes","Number","17"
"Deaths","2013","45 - 54 years","Hospices","Number","171"
"Deaths","2013","55 - 64 years","All places of occurrence","Number","2858"
"Deaths","2013","55 - 64 years","General and Orthopaedic Hospitals","Number","1229"
"Deaths","2013","55 - 64 years","Psychiatric Hospitals","Number","3"
"Deaths","2013","55 - 64 years","Private Hospitals","Number","108"
"Deaths","2013","55 - 64 years","Community Hospitals","Number","94"
"Deaths","2013","55 - 64 years","Maternity Hospitals","Number","0"
"Deaths","2013","55 - 64 years","Paediatric Hospitals","Number","0"
"Deaths","2013","55 - 64 years","Oncology Hospitals","Number","17"
"Deaths","2013","55 - 64 years","Domiciliary","Number","886"
"Deaths","2013","55 - 64 years","Elsewhere","Number","140"
"Deaths","2013","55 - 64 years","Nursing Homes","Number","54"
"Deaths","2013","55 - 64 years","Hospices","Number","327"
"Deaths","2013","65 - 74 years","All places of occurrence","Number","5137"
"Deaths","2013","65 - 74 years","General and Orthopaedic Hospitals","Number","2380"
"Deaths","2013","65 - 74 years","Psychiatric Hospitals","Number","13"
"Deaths","2013","65 - 74 years","Private Hospitals","Number","223"
"Deaths","2013","65 - 74 years","Community Hospitals","Number","218"
"Deaths","2013","65 - 74 years","Maternity Hospitals","Number","2"
"Deaths","2013","65 - 74 years","Paediatric Hospitals","Number","0"
"Deaths","2013","65 - 74 years","Oncology Hospitals","Number","14"
"Deaths","2013","65 - 74 years","Domiciliary","Number","1360"
"Deaths","2013","65 - 74 years","Elsewhere","Number","180"
"Deaths","2013","65 - 74 years","Nursing Homes","Number","240"
"Deaths","2013","65 - 74 years","Hospices","Number","507"
"Deaths","2013","75 - 84 years","All places of occurrence","Number","8562"
"Deaths","2013","75 - 84 years","General and Orthopaedic Hospitals","Number","3991"
"Deaths","2013","75 - 84 years","Psychiatric Hospitals","Number","20"
"Deaths","2013","75 - 84 years","Private Hospitals","Number","251"
"Deaths","2013","75 - 84 years","Community Hospitals","Number","748"
"Deaths","2013","75 - 84 years","Maternity Hospitals","Number","1"
"Deaths","2013","75 - 84 years","Paediatric Hospitals","Number","0"
"Deaths","2013","75 - 84 years","Oncology Hospitals","Number","16"
"Deaths","2013","75 - 84 years","Domiciliary","Number","1722"
"Deaths","2013","75 - 84 years","Elsewhere","Number","180"
"Deaths","2013","75 - 84 years","Nursing Homes","Number","1099"
"Deaths","2013","75 - 84 years","Hospices","Number","534"
"Deaths","2013","85 years and over","All places of occurrence","Number","9892"
"Deaths","2013","85 years and over","General and Orthopaedic Hospitals","Number","3546"
"Deaths","2013","85 years and over","Psychiatric Hospitals","Number","26"
"Deaths","2013","85 years and over","Private Hospitals","Number","173"
"Deaths","2013","85 years and over","Community Hospitals","Number","1351"
"Deaths","2013","85 years and over","Maternity Hospitals","Number","1"
"Deaths","2013","85 years and over","Paediatric Hospitals","Number","0"
"Deaths","2013","85 years and over","Oncology Hospitals","Number","6"
"Deaths","2013","85 years and over","Domiciliary","Number","1734"
"Deaths","2013","85 years and over","Elsewhere","Number","223"
"Deaths","2013","85 years and over","Nursing Homes","Number","2556"
"Deaths","2013","85 years and over","Hospices","Number","276"
"Deaths","2013","All ages","All places of occurrence","Number","29504"
"Deaths","2013","All ages","General and Orthopaedic Hospitals","Number","12273"
"Deaths","2013","All ages","Psychiatric Hospitals","Number","64"
"Deaths","2013","All ages","Private Hospitals","Number","797"
"Deaths","2013","All ages","Community Hospitals","Number","2441"
"Deaths","2013","All ages","Maternity Hospitals","Number","123"
"Deaths","2013","All ages","Paediatric Hospitals","Number","99"
"Deaths","2013","All ages","Oncology Hospitals","Number","63"
"Deaths","2013","All ages","Domiciliary","Number","6661"
"Deaths","2013","All ages","Elsewhere","Number","1124"
"Deaths","2013","All ages","Nursing Homes","Number","3976"
"Deaths","2013","All ages","Hospices","Number","1883"
"Deaths","2014","0 - 4 years","All places of occurrence","Number","264"
"Deaths","2014","0 - 4 years","General and Orthopaedic Hospitals","Number","63"
"Deaths","2014","0 - 4 years","Psychiatric Hospitals","Number","0"
"Deaths","2014","0 - 4 years","Private Hospitals","Number","0"
"Deaths","2014","0 - 4 years","Community Hospitals","Number","0"
"Deaths","2014","0 - 4 years","Maternity Hospitals","Number","99"
"Deaths","2014","0 - 4 years","Paediatric Hospitals","Number","72"
"Deaths","2014","0 - 4 years","Oncology Hospitals","Number","0"
"Deaths","2014","0 - 4 years","Domiciliary","Number","26"
"Deaths","2014","0 - 4 years","Elsewhere","Number","3"
"Deaths","2014","0 - 4 years","Nursing Homes","Number","0"
"Deaths","2014","0 - 4 years","Hospices","Number","1"
"Deaths","2014","5 - 14 years","All places of occurrence","Number","58"
"Deaths","2014","5 - 14 years","General and Orthopaedic Hospitals","Number","11"
"Deaths","2014","5 - 14 years","Psychiatric Hospitals","Number","0"
"Deaths","2014","5 - 14 years","Private Hospitals","Number","0"
"Deaths","2014","5 - 14 years","Community Hospitals","Number","0"
"Deaths","2014","5 - 14 years","Maternity Hospitals","Number","0"
"Deaths","2014","5 - 14 years","Paediatric Hospitals","Number","21"
