"Statistic Label","Quarter","Cause of Death","County of Residence of Deceased","UNIT","VALUE"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Ireland","Number","9535"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Cork City Council","Number","376"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Clare County Council","Number","236"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Cavan County Council","Number","150"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Cork County Council","Number","766"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Carlow County Council","Number","114"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Dublin City Council","Number","1298"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Dún Laoghaire Rathdown County Council","Number","483"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Donegal County Council","Number","329"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Fingal County Council","Number","363"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Galway County Council","Number","409"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Galway City Council","Number","100"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Kildare County Council","Number","309"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Kilkenny County Council","Number","221"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Kerry County Council","Number","322"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Longford County Council","Number","71"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Louth County Council","Number","256"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Limerick City & County Council","Number","395"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Leitrim County Council","Number","91"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Laois County Council","Number","132"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Meath County Council","Number","326"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Monaghan County Council","Number","112"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Mayo County Council","Number","301"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Offaly County Council","Number","165"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Roscommon County Council","Number","156"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","South Dublin County Council","Number","431"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Sligo County Council","Number","145"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Tipperary County Council","Number","371"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Waterford City & County Council","Number","281"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Westmeath County Council","Number","198"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Wicklow County Council","Number","289"
"Deaths Registered","2022Q1","Total deaths (A00-Y89)","Wexford County Council","Number","339"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Ireland","Number","2720"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Cork City Council","Number","95"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Clare County Council","Number","78"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Cavan County Council","Number","41"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Cork County Council","Number","207"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Carlow County Council","Number","29"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Dublin City Council","Number","364"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Dún Laoghaire Rathdown County Council","Number","156"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Donegal County Council","Number","93"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Fingal County Council","Number","117"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Galway County Council","Number","123"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Galway City Council","Number","32"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Kildare County Council","Number","91"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Kilkenny County Council","Number","60"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Kerry County Council","Number","77"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Longford County Council","Number","23"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Louth County Council","Number","66"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Limerick City & County Council","Number","112"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Leitrim County Council","Number","25"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Laois County Council","Number","35"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Meath County Council","Number","99"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Monaghan County Council","Number","39"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Mayo County Council","Number","77"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Offaly County Council","Number","54"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Roscommon County Council","Number","44"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","South Dublin County Council","Number","122"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Sligo County Council","Number","44"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Tipperary County Council","Number","100"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Waterford City & County Council","Number","87"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Westmeath County Council","Number","62"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Wicklow County Council","Number","79"
"Deaths Registered","2022Q1","Malignant neoplasms (C00-C97)","Wexford County Council","Number","89"
"Deaths Registered","2022Q1","Diseases of the Circulatory System (I00-I99)","Ireland","Number","2596"
"Deaths Registered","2022Q1","Diseases of the Circulatory System (I00-I99)","Cork City Council","Number","106"
"Deaths Registered","2022Q1","Diseases of the Circulatory System (I00-I99)","Clare County Council","Number","55"
"Deaths Registered","2022Q1","Diseases of the Circulatory System (I00-I99)","Cavan County Council","Number","36"
"Deaths Registered","2022Q1","Diseases of the Circulatory System (I00-I99)","Cork County Council","Number","204"
"Deaths Registered","2022Q1","Diseases of the Circulatory System (I00-I99)","Carlow County Council","Number","41"
"Deaths Registered","2022Q1","Diseases of the Circulatory System (I00-I99)","Dublin City Council","Number","340"
"Deaths Registered","2022Q1","Diseases of the Circulatory System (I00-I99)","Dún Laoghaire Rathdown County Council","Number","139"
"Deaths Registered","2022Q1","Diseases of the Circulatory System (I00-I99)","Donegal County Council","Number","82"
"Deaths Registered","2022Q1","Diseases of the Circulatory System (I00-I99)","Fingal County Council","Number","83"
"Deaths Registered","2022Q1","Diseases of the Circulatory System (I00-I99)","Galway County Council","Number","108"
"Deaths Registered","2022Q1","Diseases of the Circulatory System (I00-I99)","Galway City Council","Number","30"
