"Statistic Label","Census Year","Sex","Type of difficulty or condition","Extent of difficulty or condition","Type of Communal Establishment","UNIT","VALUE"
"People with a disability","2022","Both sexes","Total persons with a disability","Any Extent","All persons","Number","46552"
"People with a disability","2022","Both sexes","Total persons with a disability","Any Extent","Hotel","Number","5837"
"People with a disability","2022","Both sexes","Total persons with a disability","Any Extent","Guest house, boarding house or B&B","Number","614"
"People with a disability","2022","Both sexes","Total persons with a disability","Any Extent","Tourist/youth hostel or campsite","Number","379"
"People with a disability","2022","Both sexes","Total persons with a disability","Any Extent","Student specific accommodation","Number","2417"
"People with a disability","2022","Both sexes","Total persons with a disability","Any Extent","Religious community","Number","1930"
"People with a disability","2022","Both sexes","Total persons with a disability","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","4153"
"People with a disability","2022","Both sexes","Total persons with a disability","Any Extent","Children's home","Number","112"
"People with a disability","2022","Both sexes","Total persons with a disability","Any Extent","Nursing home","Number","20062"
"People with a disability","2022","Both sexes","Total persons with a disability","Any Extent","Hospital","Number","6461"
"People with a disability","2022","Both sexes","Total persons with a disability","Any Extent","Defence establishment","Number","57"
"People with a disability","2022","Both sexes","Total persons with a disability","Any Extent","Prison","Number","922"
"People with a disability","2022","Both sexes","Total persons with a disability","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","2543"
"People with a disability","2022","Both sexes","Total persons with a disability","Any Extent","Civilian ships, boats and barges","Number","4"
"People with a disability","2022","Both sexes","Total persons with a disability","Any Extent","Other, including not stated","Number","1061"
"People with a disability","2022","Both sexes","Total persons with a disability","Some Extent","All persons","Number","14430"
"People with a disability","2022","Both sexes","Total persons with a disability","Some Extent","Hotel","Number","4365"
"People with a disability","2022","Both sexes","Total persons with a disability","Some Extent","Guest house, boarding house or B&B","Number","419"
"People with a disability","2022","Both sexes","Total persons with a disability","Some Extent","Tourist/youth hostel or campsite","Number","271"
"People with a disability","2022","Both sexes","Total persons with a disability","Some Extent","Student specific accommodation","Number","1912"
"People with a disability","2022","Both sexes","Total persons with a disability","Some Extent","Religious community","Number","1115"
"People with a disability","2022","Both sexes","Total persons with a disability","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","393"
"People with a disability","2022","Both sexes","Total persons with a disability","Some Extent","Children's home","Number","65"
"People with a disability","2022","Both sexes","Total persons with a disability","Some Extent","Nursing home","Number","1822"
"People with a disability","2022","Both sexes","Total persons with a disability","Some Extent","Hospital","Number","1824"
"People with a disability","2022","Both sexes","Total persons with a disability","Some Extent","Defence establishment","Number","47"
"People with a disability","2022","Both sexes","Total persons with a disability","Some Extent","Prison","Number","550"
"People with a disability","2022","Both sexes","Total persons with a disability","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","1259"
"People with a disability","2022","Both sexes","Total persons with a disability","Some Extent","Civilian ships, boats and barges","Number","3"
"People with a disability","2022","Both sexes","Total persons with a disability","Some Extent","Other, including not stated","Number","385"
"People with a disability","2022","Both sexes","Total persons with a disability","Great Extent","All persons","Number","32122"
"People with a disability","2022","Both sexes","Total persons with a disability","Great Extent","Hotel","Number","1472"
"People with a disability","2022","Both sexes","Total persons with a disability","Great Extent","Guest house, boarding house or B&B","Number","195"
"People with a disability","2022","Both sexes","Total persons with a disability","Great Extent","Tourist/youth hostel or campsite","Number","108"
"People with a disability","2022","Both sexes","Total persons with a disability","Great Extent","Student specific accommodation","Number","505"
"People with a disability","2022","Both sexes","Total persons with a disability","Great Extent","Religious community","Number","815"
"People with a disability","2022","Both sexes","Total persons with a disability","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","3760"
"People with a disability","2022","Both sexes","Total persons with a disability","Great Extent","Children's home","Number","47"
"People with a disability","2022","Both sexes","Total persons with a disability","Great Extent","Nursing home","Number","18240"
