_id,name,address,eircode,x,y
1,Midland Regional Hospital Portlaoise,"Dublin Road, Portlaoise, Co. Laois,",R32RW61,248539.8285,198821.7809
2,Midland Regional Hospital Tullamore,"Arden Road, Tullamore, Co. Offaly,",R35NY51,233923.1455,225877.1039
3,St James's Hospital Dublin,"James's Street, Dublin 8,",D08NHY1,313433.6436,233460.873
4,Naas General Hospital,"Craddockstown Road, Naas, Co. Kildare,",W91AE76,289392.2816,218724.4999
5,The Adelaide & Meath Hospital (Tallaght Hospital) Dublin,"Tallaght, Dublin 24",,308195.7986,227903.5429
6,Cavan General Hospital,"Lisdarn, Cavan,",H12A5D7,241108.2195,305926.719
7,Louth County Hospital Dundalk,"Dublin Road, Dundalk",,304933.9162,305486.799
8,Monaghan Hospital,"Monaghan,",H18NV91,266828.5975,333908.8821
9,Our Lady of Lourdes Hospital Drogheda,"Drogheda, Co. Louth,",A92VW28,308563.4386,276047.75
10,Connolly Hospital Dublin,"Mill Road, Dublin 15,",D15X40D,308545.2076,238839.27
11,Beaumont Hospital,"Beaumont Road, Dublin 9,",D09C562,318014.4006,239461.7999
12,St Luke's General Hospital Kilkenny,"Freshford Road, Kilkenny,",R95FY71,249849.5305,157441.6319
13,Wexford General Hospital,"Newtown Road, Wexford, Y35y17d",,303401.8406,122304.6848
14,Our Lady's Hospital Navan,"Navan, Co. Meath,",C15RK7Y,286123.9386,267517.563
15,Midland Regional Hospital Mullingar,"Longford Road, Mullingar, Co. Westmeath,",N91NA43,243131.5005,254000.7
16,St Columcille's Hospital,"Bray Road, Loughlinstown, Co. Dublin,",D18V9K1,324650.0136,223005.9479
17,St Vincent's University Hospital,"Elm Park, Nutley Lane, Dublin 4,",D04T6F4,319049.9696,231076.2339
18,St Michael's Hospital Dun Laoghaire,"George's Street Lower, Dun Laoghaire, Co. Dublin,",A96P902,324095.6746,228667.4989
19,Mater Misericordiae Hospital,"Eccles Street, Dublin 7,",D07R2WY,315270.9066,235749.3699
20,South Tipperary General Hospital,"Western Road, Clonmel, Co. Tipperary,",E91VY40,219438.4595,122665.8848
21,University Hospital Waterford,"Dunmore Road, Waterford,",X91ER8E,262910.9695,111129.5228
22,Bantry General Hospital,"Carrignagat, Bantry, Co. Cork,",P75DX93,99695.28536,48014.02974
23,Cork University Hospital,"Wilton, Cork,",T12DC4A,164819.4034,70216.09277
24,Mallow General Hospital,"Kilknockin, Mallow, Co. Cork,",P51N288,154551.0944,100117.7888
25,Ennis Hospital,"Gort Road, Ennis, Co. Clare,",V95HN29,133732.5354,178235.0779
26,Roscommon County Hospital,"Ardsallagh Beg, Co. Roscommon,",F42AX61,188388.3285,263899.813
27,Mercy University Hospital,"Grenville Place, Cork,",T12WE28,166764.5734,71915.37076
28,Nenagh Hospital,"Tyone, Nenagh, Co. Tipperary,",E45PT86,187094.4565,178527.3649
29,Sligo Regional Hospital,"The Mall, Sligo,",F91H684,169786.3464,336269.7351
30,University Hospital Galway,"Newcastle Road, Galway,",H91YR71,128926.2994,225582.2939
31,Portiuncula Hospital,"Ballinasloe, Co. Galway,",H53T971,184339.0425,230731.3919
32,South Infirmary Victoria University Hospital,"Old Blackrock Road, Cork,",T12X23H,168045.1354,71328.93777
33,St John's Hospital,"St. John's Square, Limerick",,158298.4279,157008.8367
34,Letterkenny University Hospital,"Kilmacrennan Road, Letterkenny, Co. Donegal,",F92AE81,216990.1175,412551.1811
35,Merlin Park University Hospital,"Galway,",H91N973,133719.3214,225686.7119
36,University Hospital Kerry,"Tralee, Co. Kerry,",V92NX94,84653.57835,113945.3278
37,University Hospital Limerick,"Saint Nessan's Road, Dooradoyle, Limerick,",V94F858,155741.1214,154029.2699
38,Mayo General Hospital,"Westport Road, Castlebar, Co. Mayo,",F23H529,114195.8524,289970.125
