_id,Service name,Address,County,ig_xcord,ig_ycord
1,Abbey Haven Care Centre & Nursing Home,"Abbey Haven Care Centre & Nursing Home, Carrick Road, Boyle, Roscommon, Roscommon",Roscommon,181885.281,302267.625
2,AbbeyBreaffy Nursing Home,"AbbeyBreaffy Nursing Home, Dublin Road, Castlebar, Co. Mayo, Mayo",Mayo,119310.3161,292487.6856
3,Abbeygale House,"Farnogue Residential Healthcare Unit, Old Hospital Road, Co Wexford, Wexford",Wexford,303521.756,122155.765
4,Abbeylands Nursing Home & Alzheimer Unit,"Abbeylands Nursing Home & Alzheimer Unit, Carhoo, Kildorrery, Co. Cork, Cork",Cork,170635.1378,110208.8374
5,Abbot Close Nursing Home,"Abbot Close Nursing Home, St. Marys Terrace, Askeaton, Co. Limerick, Limerick",Limerick,133874.4153,150329.1452
6,Aclare House Nursing Home,"Aclare House, 4/5 Tivoli Terrace South, Dun Laoghaire, Co. Dublin, A96fx74",Dublin,323842.3576,228137.8149
7,Acorn Lodge,"Acorn Lodge, Ballykelly, Cashel, Co. Tipperary, Tipperary",Tipperary,210354.8139,145383.9286
8,Adare and District Nursing Home,"Adare and District Nursing Home, Croagh, Co. Limerick, Limerick",Limerick,141078.1629,143045.4189
9,Ailesbury Private Nursing Home,"58 Park Avenue, Dublin 4, D04y437",Dublin,319096.0046,232004.0759
10,Aisling House Nursing Home,"Seabank, Arklow, Co. Wicklow, Y14x670",Wicklow,326210.0006,175852.3129
11,Altadore Nursing Home,"Altadore, Glenageary Road Upper, Glenageary, Co. Dublin, A96ew77",Dublin,324719.6106,226982.3029
12,Alzheimer Care Centre,"Alzheimer Care Centre, Highfield Hospital, Swords Road, Whitehall, Dublin 9 Dublin 9",Dublin,316625.7258,238112.1157
13,Amberley Home and Retirement Cottages,"Amberley Home and Retirement Cottages, Acres, Fermoy, Co. Cork, Cork",Cork,177544.0772,100066.6778
14,An Teaghlach Uilinn,"Cill RÃ¡inne, Maigh Chuilinn, Co. na Gaillimhe",Galway,121671.0452,233178.3745
15,Annabeg Nursing Home,"Meadow Court, Ballybrack, Glenageary, Co. Dublin, A96kw54",Dublin,324829.0672,224108.1679
16,Aonad Altranas Pobail-ArÃ¡s RÃ³nÃ¡in,"Mainistir, OileÃ¡in Ãrann, Co. na Gaillimhe",Galway,87144.86329,209996.3952
17,Araglen House Nursing and Convalescent Home,"Araglen House Nursing and Convalescent Home, Loumanagh, Boherbue, Mallow, Co Cork Cork",Cork,125815.0454,100537.8365
18,Aras Ghaoth Dobhair,"MÃ­n an Iolair, DoirÃ­ Beaga, Co. DhÃºn na nGall",Donegal,181296.8988,425320.1354
19,Aras Mathair Phoil,"Aras Mathair Phoil, Castlerea, Co. Roscommon, Roscommon",Roscommon,167653.1689,279933.7288
20,Aras Mhic Dara,"An CheathrÃº Rua, Co. na Gaillimhe",Galway,92755.36185,224606.3427
21,Aras Mhic Shuibhne Nursing Home,"Aras Mhic Shuibhne Nursing Home, Mullinasole, Laghey, Co. Donegal, Donegal",Donegal,192772.8237,373329.3084
22,Aras Mhuire Community Nursing Unit,"Aras Mhuire Community Nursing Unit, Dublin Road, Tuam, Co. Galway, Galway",Galway,143821.4408,251531.7911
23,Aras Mhuire Nursing Facility,"Aras Mhuire Nursing Home, Medical Missionaries of Mary, Beechgrove, Drogheda, Louth Louth",Louth,308898.0139,275970.7027
24,Aras Mhuire Nursing Home,"Aras Mhuire Nursing Home, Greenville, Listowel, Co. Kerry, Kerry",Kerry,98262.93781,133805.6151
25,Aras Ui Dhomhnaill,"Aras Ui Dhomhnaill, Loughnakey, Milford, Co. Donegal, Donegal",Donegal,220222.5304,424943.1334
26,Archersrath Nursing Home,"Archersrath Nursing Home, Archersrath, Kilkenny, Kilkenny, Kilkenny",Kilkenny,253387.1927,156859.346
27,Archview Lodge,"NURSING HOME, DRUMANY, LETTERKENNY, CO. DONEGAL",Donegal,219816.2988,410618.859
28,Ard Na Ri Nursing Home,"Ard Na RÃ­ Nursing Home, Holycross, Bruff, Co. Limerick, Limerick",Limerick,162811.2459,136099.3086
29,Ardeen Nursing Home,"Ardeen Nursing Home, Abbey Road, Thurles, Co. Tipperary, Tipperary",Tipperary,211645.005,158275.1981
30,Ardsley Nursing Home,"Ardsley Nursing Home, Rocky Road, Farran, Co. Cork, Cork",Cork,150531.2796,69327.16382
31,Arus Breffni Nursing Unit,"Arus Breffni Nursing Unit, Manorhamilton, Co. Leitrim, Leitrim",Leitrim,188871.9896,339824.0206
32,Arus Carolan Community Nursing Unit,"Arus Carolan Community Nursing Unit, Mohill, Co. Leitrim, Leitrim",Leitrim,208896.6548,296969.4009
33,Asgard Lodge Nursing Home,"Asgard Lodge Nursing Home, Monument Lane, Kilbride, Arklow, Co. Wicklow Wicklow",Wicklow,324568.5535,174855.064
34,Ashborough Lodge,"Ashborough Lodge, Lyre Road, Milltown, Co. Kerry, Kerry",Kerry,82454.05045,100079.4471
35,Ashbury Private Nursing Home,"1a Kill Lane, Kill O' The Grange, Blackrock, Co. Dublin, A94rk81",Dublin,322783.5016,227108.9879
