Statistic Label,CensusYear,Sex,Single Year of Age,County and City,UNIT,VALUE
Population,2022,Both sexes,65 years,State,Number,50083
Population,2022,Both sexes,65 years,Cork City and Cork County,Number,5680
Population,2022,Both sexes,65 years,Clare,Number,1341
Population,2022,Both sexes,65 years,Cavan,Number,863
Population,2022,Both sexes,65 years,Carlow,Number,628
Population,2022,Both sexes,65 years,Dublin City,Number,5001
Population,2022,Both sexes,65 years,Donegal,Number,1826
Population,2022,Both sexes,65 years,Dún Laoghaire-Rathdown,Number,2259
Population,2022,Both sexes,65 years,Fingal,Number,2556
Population,2022,Both sexes,65 years,Galway City,Number,686
Population,2022,Both sexes,65 years,Galway County,Number,2094
Population,2022,Both sexes,65 years,Kildare,Number,2113
Population,2022,Both sexes,65 years,Kilkenny,Number,1054
Population,2022,Both sexes,65 years,Kerry,Number,1901
Population,2022,Both sexes,65 years,Longford,Number,475
Population,2022,Both sexes,65 years,Louth,Number,1305
Population,2022,Both sexes,65 years,Limerick City and County,Number,2140
Population,2022,Both sexes,65 years,Leitrim,Number,438
Population,2022,Both sexes,65 years,Laois,Number,877
Population,2022,Both sexes,65 years,Meath,Number,1809
Population,2022,Both sexes,65 years,Monaghan,Number,688
Population,2022,Both sexes,65 years,Mayo,Number,1709
Population,2022,Both sexes,65 years,Offaly,Number,870
Population,2022,Both sexes,65 years,Roscommon,Number,827
Population,2022,Both sexes,65 years,South Dublin,Number,2647
Population,2022,Both sexes,65 years,Sligo,Number,843
Population,2022,Both sexes,65 years,Tipperary,Number,1875
Population,2022,Both sexes,65 years,Waterford City and County,Number,1331
Population,2022,Both sexes,65 years,Westmeath,Number,990
Population,2022,Both sexes,65 years,Wicklow,Number,1512
Population,2022,Both sexes,65 years,Wexford,Number,1745
Population,2022,Both sexes,66 years,State,Number,48421
Population,2022,Both sexes,66 years,Cork City and Cork County,Number,5520
Population,2022,Both sexes,66 years,Clare,Number,1351
Population,2022,Both sexes,66 years,Cavan,Number,807
Population,2022,Both sexes,66 years,Carlow,Number,569
Population,2022,Both sexes,66 years,Dublin City,Number,4694
Population,2022,Both sexes,66 years,Donegal,Number,1775
Population,2022,Both sexes,66 years,Dún Laoghaire-Rathdown,Number,2193
Population,2022,Both sexes,66 years,Fingal,Number,2390
Population,2022,Both sexes,66 years,Galway City,Number,629
Population,2022,Both sexes,66 years,Galway County,Number,2059
Population,2022,Both sexes,66 years,Kildare,Number,2033
Population,2022,Both sexes,66 years,Kilkenny,Number,1056
Population,2022,Both sexes,66 years,Kerry,Number,1826
Population,2022,Both sexes,66 years,Longford,Number,437
Population,2022,Both sexes,66 years,Louth,Number,1263
Population,2022,Both sexes,66 years,Limerick City and County,Number,2142
Population,2022,Both sexes,66 years,Leitrim,Number,411
Population,2022,Both sexes,66 years,Laois,Number,793
Population,2022,Both sexes,66 years,Meath,Number,1786
Population,2022,Both sexes,66 years,Monaghan,Number,651
Population,2022,Both sexes,66 years,Mayo,Number,1720
Population,2022,Both sexes,66 years,Offaly,Number,849
Population,2022,Both sexes,66 years,Roscommon,Number,823
Population,2022,Both sexes,66 years,South Dublin,Number,2639
Population,2022,Both sexes,66 years,Sligo,Number,769
Population,2022,Both sexes,66 years,Tipperary,Number,1834
Population,2022,Both sexes,66 years,Waterford City and County,Number,1271
Population,2022,Both sexes,66 years,Westmeath,Number,936
Population,2022,Both sexes,66 years,Wicklow,Number,1534
Population,2022,Both sexes,66 years,Wexford,Number,1661
Population,2022,Both sexes,67 years,State,Number,48151
Population,2022,Both sexes,67 years,Cork City and Cork County,Number,5394
Population,2022,Both sexes,67 years,Clare,Number,1361
Population,2022,Both sexes,67 years,Cavan,Number,793
Population,2022,Both sexes,67 years,Carlow,Number,562
Population,2022,Both sexes,67 years,Dublin City,Number,4593
Population,2022,Both sexes,67 years,Donegal,Number,1816
Population,2022,Both sexes,67 years,Dún Laoghaire-Rathdown,Number,2132
Population,2022,Both sexes,67 years,Fingal,Number,2312
Population,2022,Both sexes,67 years,Galway City,Number,642
Population,2022,Both sexes,67 years,Galway County,Number,2018
Population,2022,Both sexes,67 years,Kildare,Number,2126
Population,2022,Both sexes,67 years,Kilkenny,Number,1070
Population,2022,Both sexes,67 years,Kerry,Number,1889
Population,2022,Both sexes,67 years,Longford,Number,442
Population,2022,Both sexes,67 years,Louth,Number,1236
Population,2022,Both sexes,67 years,Limerick City and County,Number,2041
Population,2022,Both sexes,67 years,Leitrim,Number,422
