Centre_ID,Centre_Title,Centre_Address,County,Maximum_Occupancy,Centre_Phone,Person_in_Charge,Person_in_Charge_Phone,Registration_Provider,Registration_Provider_Address,Registration_Provider_Phone,Registration_Date,Registration_Expiry_Date,Expiry_Date_Note,CRO_Registration_Number,Management_Contacts,Registration_Number,Chief_Inspector_Note,Registration_Conditions,URL
738,"Abbey Haven Care Centre & Nursing Home","Carrick Road, Boyle, F52 AX24",Roscommon,63,"071 967 0111","Shini Varghese","071 967 0111","Abbey Haven Care Centre & Nursing Home Limited","Carrick Road, Boyle, F52 AX24, Roscommon","071 967 0111",01-03-2024,28-02-2027,,675830,"Breege Mulryan - 071 967 0111",REG-0038082,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 24/08/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 63.",https://www.hiqa.ie/areas-we-work/find-a-centre/abbey-haven-care-centre-nursing-home
308,"AbbeyBreaffy Nursing Home","Dublin Road (N5), Castlebar, F23 NY75",Mayo,55,"094 902 5029","Selda Susan Babu","094 902 5029","Knegare Nursing Home Holdings Ltd","Talbot Lodge, 17 Kinsealy Lane, Malahide, K36 D295, Co. Dublin","01 846 2115",27-12-2022,26-12-2025,,643413,"Eileen Kirwan - 087 493 4074, Mairead Fitzgerald - 087 692 5690",REG-0036473,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 02 December 2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 55",https://www.hiqa.ie/areas-we-work/find-a-centre/abbeybreaffy-nursing-home
743,"Abbeygale House","Farnogue, Old Hospital Road, Y35 HK84",Wexford,30,"053 915 7821",,,"Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",04-06-2022,03-06-2025,,,,REG-0035789,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 23/11/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 30.",https://www.hiqa.ie/areas-we-work/find-a-centre/abbeygale-house
187,"Abbeylands Nursing Home","Carhoo, Kildorrery, P67 NH76",Cork,50,"022 250 90","Joys George","022 250 90","Abbeylands Nursing Home & Alzheimer Unit Limited","Carhoo, Kildorrery, Cork","022 25 090",31-05-2023,30-05-2026,,448593,,REG-0037053,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 06/3/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 50",https://www.hiqa.ie/areas-we-work/find-a-centre/abbeylands-nursing-home
527,"Abbeyleix Community Nursing Unit","Ballinakill Road, Abbeyleix, R32 FV52",Laois,10,"057 873 1204","Serena O'Rourke Rohan","057 873 1204","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",16-05-2021,15-05-2024,,,,REG-0034056,,"Condition 1Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on  08 September 2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 10.",https://www.hiqa.ie/areas-we-work/find-a-centre/abbeyleix-community-nursing-unit
4682,"Abbot Close Care Centre","St. Marys Terrace, Askeaton, V94 F864",Limerick,65,"061 601 888","Camilla Pop","061 601 888","Abbot Close Nursing Home Ltd","Market House, Churchtown, Mallow, P51 NH6X, Cork","022 346 93",16-06-2021,15-06-2024,,525869,"Airida Downes - 061 601 888, Deirdre Vaughan - 022 34693",REG-0034537,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 18/02/2021.  The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 65",https://www.hiqa.ie/areas-we-work/find-a-centre/abbot-close-care-centre
1,"Aclare House Nursing Home","4/5 Tivoli Terrace South, Dun Laoghaire, A96 FX74",Dublin,27,"01 280 1345","Tendai Marima","01 280 1345","Aclare Nursing Home Limited","Aclare House Nursing Home, 4/5 Tivoli Terrace South, Dun Laoghaire, A96 FX74, Co. Dublin","01 280 1345",06-05-2023,05-05-2026,,130947,,REG-0036975,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 30 May 2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 27.",https://www.hiqa.ie/areas-we-work/find-a-centre/aclare-house-nursing-home
188,"Acorn Lodge","Ballykelly, Cashel, E25 W528",Tipperary,50,"062 64 244","Mary O'Connor","062 64 244","Acorn Healthcare Limited","7 Dr Croke Place, Clonmel, E91 E7DO, Tipperary","062 64 244",06-12-2023,05-12-2026,,334201,,REG-0037711,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 31 July 2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 50.",https://www.hiqa.ie/areas-we-work/find-a-centre/acorn-lodge
404,"Adare and District Nursing Home","Adare Road, Croagh, V94 TN82",Limerick,84,"069 644 43","Sibi Johny","069 644 43","Mowlam Healthcare Services Unlimited Company","One Bank Place, Limerick City, Limerick, V94 HT2Y, Limerick","061 416 099",03-06-2023,02-06-2026,,506719,"Anne Blagdon - 061 416 099, Susan Shortt - 061 416 099",REG-0037064,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 29/11/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 84.",https://www.hiqa.ie/areas-we-work/find-a-centre/adare-and-district-nursing-home
2,"Ailesbury Private Nursing Home","58 Park Avenue, Sandymount, D04 Y437",Dublin,42,"01 269 2289","Alison Woods","01 269 2289","A N H Healthcare Limited","58 Park Avenue, Sandymount, D04 Y437, Dublin 4","01 269 2289",16-05-2023,15-05-2026,,501318,"Wendy Fagan - 01 269 2289, Robert Fagan - 087 817 1655, James Fagan - 085 875 7102",REG-0037779,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose received June 2023 within the footprint of the designated centre on the floor plans received on 8th June 2023. For the avoidance of doubt and in the context of contradictory information room dimensions are accepted as set out on the floor plans and not what is in Appendix 4 of the SOP. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 42.Condition 4By no later than the 31 May 2024 the centre will be renovated to ensure  that the it is fit for purpose and maintained to an acceptable standard to achieve compliance with the Health Act 2007 (Care and Welfare of Residents in Designated Centres for Older People) Regulations 2013,  and the National Standards for Residential Care Settings for Older People in Ireland 2016.Condition 5By no later than the 31 May 2024 all multi-occupancy bedrooms in the designated centre will be renovated and reconfigured or the number of residents accommodated in them will be reduced to achieve compliance with the Health Act 2007 (Care and Welfare of Residents in Designated Centres for Older People) Regulations 2013,  Statutory Instrument 293 of 2016 and the National Standards for Residential Care Settings for Older People in Ireland 2016.Condition 6By 31 May 2024 in order to uphold the residents' right to choice and access to sufficient sanitary facilities,  the registered provider shall install additional showers and toilets having regard to the location of bedroom accommodation,  the dependency of residents and their right to privacy and dignity.",https://www.hiqa.ie/areas-we-work/find-a-centre/ailesbury-private-nursing-home
